,Detaillierter Migrationshintergrund,Bevölkerung in Privathaushalten insgesamt,Personen ohne Migrationshintergrund,Personen mit Migrationshintergrund im weiteren Sinn,Prozentual (ohne Migrationshintergrund),Prozentual (mit Migrationshintergrund)
Insgesamt,Insgesamt,40482.0,29627.0,10855.0,,
Noch in Ausbildung,Noch in Ausbildung,8975.0,5534.0,3441.0,18.678907753063083,31.69967756794104
Ohne berufs. Abschluss,Ohne berufs. Abschluss,4657.0,2052.0,2605.0,6.926114692678976,23.998157531091664
Mit berufs. Abschluss,Mit berufs. Abschluss,26752.0,21986.0,4765.0,74.20933607857697,43.89682174113312
nicht ak. Abschluss,nicht ak. Abschluss,19597.0,16309.0,3288.0,39.49980678705236,13.296430205881684
ak. Abschluss,ak. Abschluss,7109.0,5646.0,1463.0,13.674407328450402,5.916264413383487
Promotion,Promotion,559.0,459.0,100.0,1.1341801524681485,0.17193444967693947
Bachelor,Bachelor,943.0,613.0,330.0,1.514711184015196,0.5673836839339003
Master,Master,667.0,419.0,248.0,0.08587305455080488,0.01239167204878843
Diplom/Magister/Staatsexamen,Diplom/Magister/Staatsexamen,4940.0,4155.0,785.0,1.1372650830471882,0.12943800984833237
