,Detaillierter Migrationshintergrund,Bevölkerung in Privathaushalten insgesamt,Personen ohne Migrationshintergrund,Personen mit Migrationshintergrund im weiteren Sinn,Prozentual (ohne Migrationshintergrund),Prozentual (mit Migrationshintergrund)
Insgesamt,Insgesamt,41366.0,30975.0,10391.0,,
Noch in Ausbildung,Noch in Ausbildung,8434.0,5297.0,3136.0,17.10088781275222,30.179963429891256
Ohne berufs. Abschluss,Ohne berufs. Abschluss,6889.0,4103.0,2785.0,13.246166263115416,26.802040227119623
Mit berufs. Abschluss,Mit berufs. Abschluss,25926.0,21500.0,4427.0,69.41081517352704,42.60417669136753
nicht ak. Abschluss,nicht ak. Abschluss,19917.0,17018.0,2899.0,39.42325873640033,11.886200387669566
ak. Abschluss,ak. Abschluss,5968.0,4453.0,1515.0,10.315652318321227,6.211656980793168
Promotion,Promotion,303.0,237.0,66.0,0.46154608258299623,0.13073002574373377
Bachelor,Bachelor,924.0,588.0,336.0,1.1451016732438892,0.6655346765135537
Master,Master,591.0,356.0,235.0,0.031019521502651817,0.009796414556689234
Diplom/Magister/Staatsexamen,Diplom/Magister/Staatsexamen,4150.0,3272.0,878.0,0.7073386208899387,0.1863327314983738
